Date,指数代码 Index Code,IndexName,指数英文名称Index Name(Eng),Code,Name,Name(Eng),Exchange,Exchange(Eng),weight
20220429,000300,沪深300,CSI 300,601166,兴业银行,Industrial Bank,上海证券交易所,Shanghai  Exchange,1.645
20220429,000300,沪深300,CSI 300,601601,中国太保,China Pacific Insurance (Group) Co Ltd,上海证券交易所,Shanghai  Exchange,0.393
20220429,000300,沪深300,CSI 300,600999,招商证券,China Merchants Securities Co Ltd,上海证券交易所,Shanghai  Exchange,0.262
20220429,000300,沪深300,CSI 300,002414,高德红外,Wuhan Guide Infrared Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.08
20220429,000300,沪深300,CSI 300,002179,中航光电,"AVIC Jonhon Optronic Technology Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.23
20220429,000300,沪深300,CSI 300,601788,光大证券,Everbright Securities Co Ltd,上海证券交易所,Shanghai  Exchange,0.123
20220429,000300,沪深300,CSI 300,002142,宁波银行,Bank of Ningbo Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.795
20220429,000300,沪深300,CSI 300,601009,南京银行,Bank of Nanjing Co Ltd,上海证券交易所,Shanghai  Exchange,0.321
20220429,000300,沪深300,CSI 300,002044,美年健康,"Meinian Onehealth Healthcare Holdings Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.076
20220429,000300,沪深300,CSI 300,600606,绿地控股,Greenland Holdings Corporation Limited,上海证券交易所,Shanghai  Exchange,0.101
20220429,000300,沪深300,CSI 300,600660,福耀玻璃,"Fuyao Glass Industry Group Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.275
20220429,000300,沪深300,CSI 300,600741,华域汽车,HUAYU Automotive Systems Company Limited,上海证券交易所,Shanghai  Exchange,0.171
20220429,000300,沪深300,CSI 300,600845,宝信软件,Shanghai Baosight Software Co Ltd,上海证券交易所,Shanghai  Exchange,0.089
20220429,000300,沪深300,CSI 300,600872,中炬高新,"Jonjee Hi-Tech Industrial and Commercial Holding Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.077
20220429,000300,沪深300,CSI 300,600886,国投电力,"SDIC Power Holdings Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.159
20220429,000300,沪深300,CSI 300,002352,顺丰控股,"S.F. Holding Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.556
20220429,000300,沪深300,CSI 300,002252,上海莱士,Shanghai RAAS Blood Products Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.121
20220429,000300,沪深300,CSI 300,601989,中国重工,China Shipbuilding Industry Co Ltd,上海证券交易所,Shanghai  Exchange,0.225
